ZIP_NEW,BEDS,BATHS,SQUARE_FEET,LOT SIZE,YEAR_BUILT,PRICE
92029,4,2.5,1991,1750,1988,639900
93215,4,3,1909,5227,1998,314500
91709,3,3,2472,7360,1990,860000
92308,2,1,864,3920544,1966,600000
93215,3,2,1604,6098,1993,259900
92308,4,3,2289,30000,2018,405000
95148,4,2.5,1693,8250,1981,888000
92104,3,2.5,2180,1750,2018,1850000
92307,3,2.5,3133,43500,1978,316300
93428,3,2,1928,3500,1995,799000
92372,2,2,1528,102801,1995,273000
92307,3,2.5,2282,26100,1989,340000
92881,4,3,2654,10019,2001,559900
95070,4,3,2981,16189,2002,3750000
95123,4,2.5,2186,5119,1966,1049000
92618,4,2.75,2034,3000,2015,918000
93108,4,6,3846,43560,2007,3595000
94965,2,2.5,3000,2326,1991,3995000
92024,4,2.5,2677,1750,1985,1035000
91901,4,3,1914,2100,1999,580000
93436,3,3,1646,5227,2008,386000
92084,4,3,3123,60984,2005,925000
92026,4,3,2040,2100,1990,569000
92311,4,2.5,1456,9620,1985,160000
92882,3,2,1689,7405,1980,479999
93561,4,4.5,3943,13713,1990,424700
92308,3,2,1862,29725,1977,265000
93505,3,2,1952,10454,2006,204500
92886,3,3.5,3465,10110,2008,1299500
93505,3,2,1665,9916,2006,185000
92308,5,3,3698,18108,2003,465000
92835,4,2.75,2896,6600,1988,1050000
92308,3,2.5,2272,27300,1987,314900
92507,3,2,1898,8000,2018,432490
92881,4,3,2640,6970,2006,469000
93422,3,3.5,2464,93218,2007,869000
92307,4,2,1881,19500,1994,329900
95023,4,3,3177,50530,2002,968000
92374,3,2,1940,7200,2018,464491
92374,5,2,2571,8762,2007,545000
92311,4,2,1743,6820,1983,242000
92028,4,3.5,3285,13652,2013,749900
93505,3,2,1056,11326,1984,131000
92887,4,3.5,3048,8017,2001,1199900
92833,4,3,3400,4500,2003,1148000
92887,4,2.75,2850,7261,1997,988888
92571,4,3.5,2711,5663,2007,355000
91761,4,2,1300,7600,1974,445000
93531,3,3,2985,223463,2003,649900
92308,4,2,2634,18000,2001,364500
93505,3,2,1308,10454,2006,140000
93505,3,2,1445,13503,1990,164900
91784,5,3,2553,15688,1975,804888
94070,5,3.5,3180,9931,1989,2248000
93505,3,2,1395,10019,1990,149900
92886,3,2.5,2300,7083,2016,1195000
92308,1,1,500,217800,2017,129990
92019,5,4.5,3692,29185,2000,1249000
92308,3,2,1984,27300,1981,289000
91709,4,2.5,2167,6630,1996,775000
92507,5,3,2692,7997,2018,488490
91901,3,2,1896,1400,1990,645000
92029,4,3,3376,32234,2000,1099999
93561,4,2.5,3093,6970,2006,385000
92672,4,4.5,3600,5832,2018,1904090
92386,3,2.5,1920,4750,1982,345000
95012,3,3,2532,261360,1982,950000
93402,3,2,2349,19000,1981,829000
92029,4,2,1702,1400,1988,579000
92028,4,2.5,2323,41382,2006,730000
92507,4,3,2467,20078,2018,490990
92026,3,2.5,1998,10215,1990,579999
92019,5,4.5,3907,31363,2004,849900
92887,4,3,3850,9600,1988,1150000
92308,5,4,3698,19100,2001,459900
92324,3,2.5,1717,2376,2018,380910
93531,4,2.5,2417,208652,1999,749900
92308,5,3,3052,15800,1990,455000
92314,3,2,1308,5000,2004,299900
92507,5,3.5,2844,22247,2018,507490
92887,4,3,2769,8000,1989,950000
91913,4,3,2021,2100,2018,576900
92324,3,2.5,1717,2376,2018,373310
91784,4,2.5,2346,10640,1978,725000
92630,4,3.5,2454,2600,2017,895000
93940,3,2,2200,5019,2017,1750000
92220,2,1,820,5663,1980,159000
92078,4,3.5,2691,3280,2018,792715
94060,3,3,3320,33600,2008,1398000
94930,4,3,2206,11700,2004,1075000
93463,4,3,2778,2100,1997,1069000
94558,4,3,3514,9953,1958,659000
92651,3,2,2076,9438,1990,1895000
91901,5,3.5,2696,2450,1991,849000
93505,3,2,1696,10018,1991,159000
92507,3,2,1450,15246,1981,380000
92377,4,2,1977,10000,1980,370000
92582,4,2,2045,7405,2017,316500
92307,3,3,2476,37500,1972,279000
92507,3,2,1450,12197,1981,399000
92887,4,2.75,3850,8000,1989,1200000
92508,4,2.5,2116,7405,1990,472000
91784,4,3.5,2819,10010,1987,834900
93561,4,4,3523,104980,2007,749900
92887,5,3,3850,8000,1989,1220000
95130,5,3,2683,4820,2005,1899950
94533,4,2,1405,6534,1982,415000
92029,5,3,3465,40075,1994,1049000
92508,4,3,2155,7405,1990,430000
92508,4,3,2692,17424,2004,479000
93463,3,2,3706,435600,1989,1125000
95123,3,2,1237,4975,1963,849000
92028,4,2.5,2246,15344,2013,669900
92262,3,2,1248,7405,1984,334900
93505,3,2,1302,9583,1987,149000
92308,3,2,1449,24642,1978,245000
93518,3,2,1650,971823,1982,335000
93505,4,2,1830,10890,2007,247000
92028,3,3,2671,2100,1987,750000
92886,4,2.5,1961,14000,1980,929900
93505,3,2,1521,21344,1990,154900
92308,4,2,2609,26000,1968,334850
92014,3,2,1897,1400,1980,2185000
93561,4,3.5,3241,121968,2005,559000
92887,4,2.5,2630,18000,1982,1150000
92019,4,3.5,2493,2450,1985,739000
92882,3,2,1473,14810,1984,534800
92508,4,2.5,1970,6970,1996,429999
92595,4,3,1943,20038,1986,444990
92507,4,3,2663,7841,2017,515000
95014,5,4.5,3843,9587,2018,4388000
95076,3,2,1600,21780,2014,625000
92694,3,2.5,1818,2733,2002,730000
92110,4,2.5,3300,1750,1988,1599900
92106,4,4,2420,2800,2013,1399999
92311,4,2,1743,9570,1983,224000
92679,4,3,2233,6240,1989,799000
92307,4,3.25,3007,35427,2006,375000
92508,5,4,3148,9148,2018,615000
92308,3,2.5,2551,196020,1980,399000
92679,4,3,2539,6490,1993,799900
93505,3,2,1585,12632,1988,169900
93505,4,2,1756,9147,2009,210000
92508,4,3,2050,8712,1997,439900
92307,4,3,3262,43575,2000,430000
94124,3,4.5,2343,2495,2016,1188800
92582,3,2,1850,7405,2015,310000
92308,3,2,1440,217800,1975,179900
92679,4,3,2539,6695,1990,829000
92582,4,2,1850,6970,2015,315000
93307,3,2,1594,6098,2009,225000
95687,3,2.5,2020,4050,2015,514900
92672,5,5.5,3875,6270,2018,1989945
94025,4,3.5,2675,6000,2018,3985000
95051,3,2,1008,6272,1959,1088000
93505,4,3,1991,11761,1994,289500
92508,4,2.5,1810,7405,1999,469000
92886,5,3,2724,12000,1984,1138888
93561,3,2,1520,13503,2006,264900
92065,3,2.5,2050,91040,2000,725000
95051,5,3,2620,6784,1959,1898000
92627,3,2.5,1856,2396,2002,998000
92508,3,2,1776,7405,1999,425000
92308,3,2,2054,18670,2005,266000
92507,4,2.5,3025,8316,2018,519990
95032,4,2.5,1755,2669,2005,1650000
93263,3,2,994,6098,1991,199000
92618,4,4.5,2439,4350,2013,1210000
92028,4,2.5,2999,47044,1995,830000
92262,3,2,2339,12197,2002,569000
92886,4,2,2226,19000,1985,989000
92507,4,2.5,2773,10203,2018,479990
92886,4,2,2152,16568,1985,890000
93505,3,2,1321,10890,1987,173500
92308,3,2,1624,17783,2004,235000
92630,5,4.5,3598,6516,1999,1088000
92507,5,3,2528,10350,2018,465990
92028,4,3.5,3639,99316,2000,1150000
93561,4,2,2396,92347,1982,434000
92308,3,2,1334,27700,1990,232000
92405,3,2,1438,7809,2018,280000
92307,3,2.5,1534,61420,1978,295000
92507,5,3,3234,10806,2018,539655
92308,3,2,1994,21500,1984,289900
92629,3,3.5,2400,15000,1994,2350000
92677,3,3,1555,3000,1986,759000
90620,4,3,2387,4386,2010,1139000
92657,4,3.5,3800,7284,2001,2899000
92618,4,3,2817,5334,2000,1495000
92629,5,3,3710,11019,2003,2185000
92602,4,4,3102,5775,2002,1399000
92688,3,2.5,1735,2767,1999,699999
92679,3,2.5,1624,6771,1993,749000
92694,5,3.5,2588,4000,2003,899900
92688,3,2.75,1723,2975,1994,698000
92532,5,4.5,3842,14375,2006,699950
92656,4,3,2077,3500,1997,819900
93449,3,2.5,2454,10200,1982,898500
92661,3,3.5,2908,2450,1993,2535000
95620,3,3.5,3090,11326,1980,698800
92078,5,3.5,3359,2450,2018,888000
92544,4,3,2260,19602,1980,399999
92625,3,4.5,3809,4130,2002,5100000
92672,4,4.5,3433,6342,2018,2034670
93428,2,2,1260,5663,1981,519000
93908,3,2.5,1764,4008,1990,670000
92692,4,3,2289,7252,1987,949900
92627,3,3,1996,1996,2016,1058000
93561,3,1.75,1874,45163,1985,328900
92308,3,2,1469,19500,1977,234900
92027,4,3,2543,8728,1994,599000
93311,4,3,3720,22651,2005,1075000
93311,4,3,2778,11325,2006,505000
93924,3,2,1489,872507,1989,765000
92314,2,1,817,2400,1985,149000
92308,3,2,1144,19250,1979,219000
92308,3,2,1747,21400,1986,225000
92882,5,2.5,3920,10454,2006,630000
93222,3,2.5,2201,30492,1991,349900
92308,3,2,1204,18040,1984,215000
92532,3,2.5,1679,27007,1987,495000
92691,3,2.5,1584,4400,1983,725000
92307,4,2,2022,43603,2017,329900
93304,3,2,1452,6057,1984,185000
92307,4,2,2022,43575,2018,324900
92025,4,2.5,1375,1750,1983,555000
92661,3,3,2172,2614,1983,2750000
93313,3,2,1657,7405,2009,249900
91913,4,2.5,1697,1750,1988,599000
92308,3,2,1560,18900,1978,225000
92308,3,2,1677,19600,2016,275000
93203,4,2,1789,4792,2015,216900
92557,4,3,1636,4356,1986,329900
92679,3,2.5,1661,6784,1984,749900
92225,3,2.25,1500,11761,2005,179900
92373,3,2,1876,10000,1980,529000
93307,4,2,1519,6534,2017,229000
92234,4,3.5,3456,7405,2006,539000
92065,5,3,2685,174240,1981,649900
93441,3,2,2168,50093,1980,899500
92692,3,2.5,1877,4500,1986,719000
93505,3,2,1630,8544,1990,190000
95125,4,3.5,2949,7913,2005,1998000
92583,4,2,2087,12632,2003,339900
93561,3,3,2054,20038,1998,265000
92308,3,2,1152,20000,1978,220000
93222,4,3,3074,19871,2011,579000
93222,2,1,884,10831,1981,207500
93505,3,2,1316,8276,1988,155500
94534,4,2.5,2532,21780,1984,850000
93505,3,2,1646,10019,2006,199000
91914,6,3,2616,5409,2005,699900
93449,2,3,1662,1665,1988,679000
93304,3,2,1267,6534,2000,196000
92308,3,2,1328,18750,1985,224900
92627,4,3,2370,3267,2006,849888
92679,4,3,2851,7781,1989,890000
92308,5,2,1986,18027,2006,294900
93560,5,2.5,2765,5663,1998,310900
